,target
0,4
1,7
2,6
3,7
4,2
5,8
6,2
7,7
8,1
9,4
10,0
11,2
12,5
13,4
14,5
15,5
16,7
17,2
18,6
19,8
20,5
21,8
22,1
23,6
24,8
25,5
26,7
27,6
28,1
29,1
30,6
31,8
32,1
33,9
34,7
35,4
36,6
37,0
38,2
39,9
40,1
41,4
42,7
43,2
44,1
45,8
46,7
47,5
48,5
49,1
50,7
51,8
52,0
53,7
54,0
55,8
56,0
57,0
58,4
59,9
60,7
61,2
62,7
63,8
64,9
65,4
66,1
67,1
68,2
69,7
70,5
71,5
72,3
73,0
74,9
75,0
76,5
77,6
78,6
79,9
80,0
81,0
82,1
83,0
84,6
85,0
86,1
87,7
88,7
89,1
90,2
91,4
92,9
93,3
94,0
95,2
96,9
97,3
98,3
99,0
100,0
101,6
102,3
103,7
104,7
105,9
106,3
107,3
108,2
109,7
110,1
111,2
112,7
113,3
114,6
115,2
116,8
117,8
118,6
119,0
120,2
121,2
122,7
123,3
124,3
125,9
126,2
127,0
128,1
129,9
130,0
131,5
132,1
133,5
134,3
135,4
136,8
137,6
138,5
139,0
140,5
141,8
142,4
143,5
144,0
145,7
146,3
147,8
148,0
149,0
150,2
151,1
152,0
153,2
154,7
155,1
156,0
157,6
158,0
159,1
160,2
161,4
162,2
163,3
164,6
165,4
166,9
167,6
168,4
169,4
170,9
171,3
172,4
173,3
174,2
175,8
176,6
177,9
178,4
179,9
180,3
181,9
182,4
183,0
184,7
185,4
186,2
187,7
188,6
189,7
190,1
191,2
192,2
193,8
194,5
195,9
196,2
197,5
198,7
199,1
200,3
201,7
202,8
203,7
204,8
205,9
206,8
207,5
208,3
209,1
210,8
211,1
212,1
213,4
214,8
215,5
216,0
217,8
218,6
219,0
220,6
221,2
222,7
223,6
224,1
225,9
226,7
227,5
228,0
229,9
230,3
231,4
232,8
233,2
234,0
235,5
236,8
237,9
238,3
239,9
240,3
241,3
242,6
243,3
244,8
245,7
246,8
247,0
248,7
249,3
250,4
251,4
252,4
253,8
254,8
255,5
256,3
257,9
258,6
259,1
260,1
261,0
262,6
263,4
264,4
265,7
266,7
267,4
268,6
269,5
270,1
271,8
272,9
273,2
274,8
275,8
276,6
277,3
278,0
279,0
280,9
281,3
282,9
283,3
284,5
285,8
286,9
287,7
288,1
289,1
290,2
291,6
292,6
293,7
294,8
295,6
296,2
297,3
298,0
299,5
300,0
301,9
302,1
303,0
304,8
305,6
306,2
307,0
308,7
309,5
310,1
311,4
312,7
313,3
314,9
315,1
316,7
317,6
318,4
319,1
320,8
321,5
322,4
323,6
324,2
325,1
326,6
327,0
328,2
329,2
330,8
331,1
332,4
333,8
334,3
335,0
336,0
337,9
338,9
339,5
340,0
341,3
342,1
343,1
344,2
345,9
346,8
347,0
348,8
349,1
350,0
351,9
352,0
353,4
354,5
355,1
356,6
357,2
358,3
359,0
360,6
361,4
362,4
363,1
364,3
365,6
366,8
367,0
368,2
369,0
370,7
371,0
372,8
373,9
374,0
375,9
376,7
377,1
378,9
379,1
380,5
381,5
382,5
383,1
384,2
385,8
386,8
387,7
388,3
389,6
390,2
391,5
392,0
393,0
394,8
395,5
396,8
397,7
398,5
399,3
400,9
401,3
402,9
403,1
404,5
405,0
406,2
407,0
408,5
409,5
410,6
411,6
